,MiTFg,NGFR,Sox10,AXL,timepoint_id,Timepoint,drug_id,Drugs,dose_id,Doses,Rep
64,3.85949102,2.927802816,3.836552397,3.529723867,1,0.5 h,1,Vem,1,0 uM,1
65,3.53016,2.863579854,3.518278533,3.448550379,1,0.5 h,1,Vem,1,0 uM,1
66,3.527870211,3.269906024,3.71199884,3.854354196,1,0.5 h,1,Vem,1,0 uM,1
67,3.885696127,3.145457546,3.590866537,3.509090235,1,0.5 h,1,Vem,1,0 uM,1
68,3.63706215,2.953467141,3.538155787,3.23028152,1,0.5 h,1,Vem,1,0 uM,1
69,3.67505295,2.98919398,3.527336039,3.447776184,1,0.5 h,1,Vem,1,0 uM,1
70,3.845543482,2.908649229,3.738443556,3.608072172,1,0.5 h,1,Vem,1,0 uM,1
71,3.785768958,3.07379665,3.727822022,3.653677659,1,0.5 h,1,Vem,1,0 uM,1
72,3.870322547,3.193093382,3.73071058,3.910542106,1,0.5 h,1,Vem,1,0 uM,1
73,3.834616125,2.873612053,3.773679309,3.361741798,1,0.5 h,1,Vem,1,0 uM,1
74,3.528420243,2.87534721,3.595129373,3.371533475,1,0.5 h,1,Vem,1,0 uM,1
75,3.468458774,3.039136578,3.540104264,3.89100762,1,0.5 h,1,Vem,1,0 uM,1
76,3.903878144,2.897389853,3.757811991,3.511282515,1,0.5 h,1,Vem,1,0 uM,1
77,3.580037547,2.906254151,3.446634753,3.441863846,1,0.5 h,1,Vem,1,0 uM,1
78,3.545800504,2.792067842,3.669434039,3.537759789,1,0.5 h,1,Vem,1,0 uM,1
79,3.596909951,3.040802469,3.517519688,3.439118816,1,0.5 h,1,Vem,1,0 uM,1
80,3.940906843,3.308469259,3.727418086,3.823234486,1,0.5 h,1,Vem,1,0 uM,1
81,3.746892247,2.99036514,3.659807765,3.868134814,1,0.5 h,1,Vem,1,0 uM,1
82,3.42263397,3.064827118,3.444997298,3.894964941,1,0.5 h,1,Vem,1,0 uM,1
83,3.721060023,3.069263138,3.49950588,3.369026334,1,0.5 h,1,Vem,1,0 uM,1
84,3.421215037,2.713556263,3.426659341,3.418793911,1,0.5 h,1,Vem,1,0 uM,1
85,3.765699708,2.928189179,3.785757494,3.610564485,1,0.5 h,1,Vem,1,0 uM,1
86,3.471533775,3.029223893,3.432529711,3.573069616,1,0.5 h,1,Vem,1,0 uM,1
87,3.914055728,2.822456532,3.618841746,3.247767094,1,0.5 h,1,Vem,1,0 uM,1
88,3.442882142,3.255302026,3.51817869,3.74398947,1,0.5 h,1,Vem,1,0 uM,1
89,3.55982666,3.114802878,3.49553459,3.951024737,1,0.5 h,1,Vem,1,0 uM,1
90,3.776047075,2.840220183,3.640615566,3.410301941,1,0.5 h,1,Vem,1,0 uM,1
91,3.476198114,2.968383717,3.418417094,3.500216239,1,0.5 h,1,Vem,1,0 uM,1
92,3.340714369,3.275209386,3.426516579,3.777295066,1,0.5 h,1,Vem,1,0 uM,1
93,3.856719436,3.21891442,3.753716691,3.74208654,1,0.5 h,1,Vem,1,0 uM,1
94,3.600676233,2.893158732,3.678509242,3.489723571,1,0.5 h,1,Vem,1,0 uM,1
95,3.982036713,2.881220515,3.867021462,3.62493685,1,0.5 h,1,Vem,1,0 uM,1
96,3.47786322,3.10520969,3.583474376,3.706133518,1,0.5 h,1,Vem,1,0 uM,1
97,3.500532802,2.873539236,3.419808912,3.677015234,1,0.5 h,1,Vem,1,0 uM,1
98,3.684650992,2.965004791,3.54749048,3.721528033,1,0.5 h,1,Vem,1,0 uM,1
99,3.716526217,3.06247746,3.583056388,3.950667591,1,0.5 h,1,Vem,1,0 uM,1
100,3.790830023,3.191764029,3.749228565,3.796496715,1,0.5 h,1,Vem,1,0 uM,1
101,3.933881228,2.96381658,3.733444937,3.29192723,1,0.5 h,1,Vem,1,0 uM,1
102,3.860802444,3.119126616,3.785424593,3.878742135,1,0.5 h,1,Vem,1,0 uM,1
103,3.760551389,3.043804214,3.729951012,3.585434872,1,0.5 h,1,Vem,1,0 uM,1
104,3.887295717,3.122494878,3.796735736,3.695531639,1,0.5 h,1,Vem,1,0 uM,1
105,3.796692313,3.156039851,3.6015788,3.901718778,1,0.5 h,1,Vem,1,0 uM,1
106,3.553118991,3.123206544,3.608418907,3.561130634,1,0.5 h,1,Vem,1,0 uM,1
107,3.693354216,3.153541915,3.52193703,3.592754925,1,0.5 h,1,Vem,1,0 uM,1
108,3.731137495,2.994877116,3.667830309,3.210807616,1,0.5 h,1,Vem,1,0 uM,1
109,3.851831998,3.190390377,3.754515656,3.372419728,1,0.5 h,1,Vem,1,0 uM,1
110,3.721897029,2.915345787,3.646471212,3.795371126,1,0.5 h,1,Vem,1,0 uM,1
111,3.765359454,3.128215431,3.529345541,3.673979927,1,0.5 h,1,Vem,1,0 uM,1
112,3.814869003,3.089694248,3.574996877,3.89442269,1,0.5 h,1,Vem,1,0 uM,1
113,3.672996079,3.158620574,3.657983327,3.532956781,1,0.5 h,1,Vem,1,0 uM,1
114,3.852132663,3.005052823,3.635075981,3.658151799,1,0.5 h,1,Vem,1,0 uM,1
115,3.736133027,3.19045774,3.56834605,3.446102288,1,0.5 h,1,Vem,1,0 uM,1
116,3.588408683,3.25227839,3.609991127,3.785770989,1,0.5 h,1,Vem,1,0 uM,1
117,3.667286212,3.024683986,3.507809128,3.612886562,1,0.5 h,1,Vem,1,0 uM,1
118,3.683419431,3.078367024,3.823114962,3.514210313,1,0.5 h,1,Vem,1,0 uM,1
119,3.785353182,3.305803477,3.702444192,3.720294005,1,0.5 h,1,Vem,1,0 uM,1
120,3.563316314,2.873183022,3.696042749,3.545545656,1,0.5 h,1,Vem,1,0 uM,1
121,3.404854214,3.361965398,3.575774626,4.082925408,1,0.5 h,1,Vem,1,0 uM,1
122,3.695242917,3.069360407,3.599152926,3.591140783,1,0.5 h,1,Vem,1,0 uM,1
123,3.904718531,3.013555397,3.534797999,3.360589949,1,0.5 h,1,Vem,1,0 uM,1
124,3.533730562,2.907706099,3.439009928,3.728725487,1,0.5 h,1,Vem,1,0 uM,1
125,3.59870378,2.823172182,3.428053809,3.341990895,1,0.5 h,1,Vem,1,0 uM,1
126,3.905452648,3.193347185,3.717055668,3.582560828,1,0.5 h,1,Vem,1,0 uM,1
127,3.878800215,3.250667029,3.744506419,3.778189673,1,0.5 h,1,Vem,1,0 uM,1
128,3.881689709,3.025692405,3.711508209,3.518242308,1,0.5 h,1,Vem,1,0 uM,1
129,3.72142996,2.971814097,3.629770044,3.605369087,1,0.5 h,1,Vem,1,0 uM,1
130,3.45670553,3.266185618,3.697617527,3.809606635,1,0.5 h,1,Vem,1,0 uM,1
131,3.883915621,3.141191747,3.627480421,3.687459405,1,0.5 h,1,Vem,1,0 uM,1
132,3.776143127,2.851503714,3.650645907,3.511850022,1,0.5 h,1,Vem,1,0 uM,1
133,3.693292475,2.862394398,3.626538135,3.371294701,1,0.5 h,1,Vem,1,0 uM,1
134,3.661725702,3.373391146,3.740742056,4.03756041,1,0.5 h,1,Vem,1,0 uM,1
135,3.639552963,2.907233578,3.475059937,3.370902703,1,0.5 h,1,Vem,1,0 uM,1
136,3.781251618,3.046051643,3.595173821,3.882252466,1,0.5 h,1,Vem,1,0 uM,1
137,3.083040182,2.954660413,3.289040575,3.708139846,1,0.5 h,1,Vem,1,0 uM,1
